,mV
1722,3463
1723,3568
1724,3664
1725,3738
1726,3795
1727,3810
1728,3776
1729,3696
1730,3567
1731,3415
1732,3238
1733,3037
1734,2835
1735,2624
1736,2413
1737,2207
1738,2015
1739,1840
1740,1679
1741,1531
1742,1407
1743,1309
1744,1234
1745,1186
1746,1165
1747,1164
1748,1186
1749,1232
1750,1290
1751,1359
1752,1429
1753,1502
1754,1584
1755,1659
1756,
1757,1727
1758,1781
1759,1821
1760,1850
1761,1872
1762,1874
1763,1873
1764,1870
1765,1857
1766,1851
1767,1849
1768,1854
1769,1862
1770,1872
1771,1881
1772,1893
1773,1914
1774,1931
1775,1937
1776,1942
1777,1945
1778,1949
1779,1947
1780,1938
1781,1927
1782,1918
1783,1906
1784,1904
1785,1907
1786,1905
1787,1911
1788,1918
1789,1923
1790,1933
1791,1935
1792,1935
1793,1935
1794,1931
1795,1929
1796,1919
1797,1911
1798,1894
1799,1883
1800,1881
1801,1882
1802,1888
1803,1894
1804,1900
1805,1926
1806,1931
1807,1932
1808,1933
1809,1930
1810,1919
1811,1914
1812,1899
1813,1887
1814,1878
1815,1874
1816,1875
1817,1875
1818,1881
1819,1883
1820,1892
1821,
1822,1903
1823,1911
1824,1918
1825,1918
1826,1922
1827,1923
1828,1911
1829,1914
1830,1902
1831,1900
1832,1897
1833,1901
1834,1904
1835,1915
1836,1920
1837,1927
1838,1937
1839,1954
1840,1965
1841,1965
1842,1963
1843,1963
1844,1965
1845,1957
1846,1954
1847,1949
1848,1943
1849,1943
1850,1949
1851,1955
1852,1960
1853,1968
1854,1975
1855,1987
1856,1998
1857,2000
1858,1997
1859,1994
1860,1986
1861,1981
1862,1971
1863,1962
1864,1952
1865,1943
1866,1949
1867,1955
1868,1962
1869,1968
1870,1979
1871,1987
1872,2001
1873,2005
1874,2010
1875,2007
1876,2000
1877,1998
1878,1991
1879,1987
1880,1975
1881,1975
1882,1975
1883,1979
1884,1991
1885,2001
1886,2011
1887,2028
1888,2039
1889,2065
1890,2074
1891,2078
1892,2076
1893,2068
1894,2064
1895,2054
1896,2032
1897,2019
1898,2007
1899,2001
1900,2000
1901,2003
1902,2011
1903,2024
1904,2037
1905,2055
1906,2072
1907,2079
1908,2081
1909,2086
1910,2087
1911,2085
1912,2081
1913,2077
1914,2069
1915,2065
1916,2064
1917,2064
1918,2064
1919,2064
1920,2067
1921,2075
1922,2091
1923,2096
1924,2105
1925,2109
1926,2105
1927,2100
1928,2096
1929,2098
1930,2086
1931,2080
1932,2080
1933,2071
1934,2081
1935,2082
1936,2079
1937,2085
1938,2089
1939,2103
1940,2109
1941,2112
1942,2107
1943,2106
1944,2098
1945,2094
1946,2087
1947,2077
1948,2063
1949,2064
1950,2063
1951,2064
1952,2064
1953,2067
1954,2074
1955,2083
1956,2085
1957,2085
1958,2082
1959,2079
1960,2069
1961,2064
1962,2046
1963,2035
1964,2022
1965,2015
1966,2014
1967,2017
1968,2022
1969,2032
1970,2036
1971,2053
1972,2069
1973,2079
1974,2080
1975,2070
1976,2065
1977,2047
1978,2035
1979,2025
1980,2004
1981,1984
1982,1968
1983,1957
1984,1955
1985,1947
1986,1943
1987,1943
1988,1943
1989,1949
1990,1948
1991,1939
1992,1931
1993,1919
1994,1915
1995,1904
1996,1890
1997,1873
1998,1856
1999,1851
2000,1845
2001,1841
2002,1842
2003,1839
2004,1841
2005,1843
2006,1842
2007,
2008,1841
2009,1831
2010,1827
2011,1813
2012,1807
2013,1792
2014,1776
2015,1759
2016,1739
2017,1733
2018,1739
2019,1741
2020,1747
2021,1760
2022,1771
2023,1783
2024,1798
2025,1799
2026,1792
2027,1787
2028,1776
2029,1760
2030,1745
2031,1728
2032,1712
2033,1702
2034,1702
2035,1709
2036,1712
2037,1723
2038,1734
2039,1753
2040,1766
2041,1781
2042,1783
2043,1783
2044,1781
2045,1775
2046,1761
2047,1753
2048,1741
2049,1723
2050,1712
2051,1703
2052,1707
2053,1712
2054,1718
2055,1760
2056,1763
2057,1763
2058,1763
2059,1761
2060,1754
2061,1746
2062,1733
2063,1725
2064,1719
2065,1726
2066,
2067,1730
2068,1744
2069,1754
2070,1763
2071,1781
2072,1792
2073,1797
2074,1792
2075,1793
2076,1789
2077,1782
2078,1777
2079,1766
2080,1755
2081,1746
2082,1745
2083,1748
2084,1751
2085,1760
2086,1766
2087,1776
2088,1787
2089,1793
2090,1792
2091,1782
2092,1780
2093,1777
2094,1776
2095,1772
2096,1762
2097,1753
2098,1753
2099,1759
2100,1765
2101,1773
2102,1782
2103,1798
2104,1809
2105,1823
2106,1827
2107,1827
2108,1827
2109,1822
2110,1815
2111,1811
2112,1808
2113,1801
2114,1798
2115,1810
2116,1821
2117,1831
2118,1845
2119,1858
2120,1872
2121,1872
2122,1865
2123,1855
2124,1841
2125,1831
2126,1820
2127,1807
2128,1794
2129,1783
2130,1782
2131,
2132,1786
2133,1795
2134,1808
2135,1820
2136,1834
2137,1854
2138,1858
2139,1859
2140,1859
2141,1859
2142,1857
2143,1855
2144,1845
2145,1837
2146,1823
2147,1819
2148,1818
2149,1822
2150,1823
2151,1830
2152,1840
2153,1847
2154,1856
2155,1858
2156,1857
2157,1850
2158,1841
2159,1837
2160,1823
2161,1813
2162,1798
2163,1792
2164,1787
2165,1792
2166,1801
2167,1807
2168,1815
2169,1821
2170,1825
2171,1840
2172,1841
2173,1844
2174,1840
2175,1842
2176,1838
2177,1829
2178,1823
2179,1810
2180,1807
2181,1806
2182,1807
2183,1808
2184,1814
2185,1821
2186,1835
2187,1844
2188,1845
2189,1847
2190,1847
2191,1847
2192,1841
2193,1837
2194,1823
2195,1810
2196,1808
2197,1808
2198,1808
2199,1817
2200,1819
2201,1823
2202,1827
2203,1831
2204,1828
2205,1822
2206,1813
2207,1810
2208,1797
2209,1798
2210,1789
2211,1779
2212,1775
2213,1774
2214,1777
2215,1782
2216,1785
2217,1791
2218,1801
2219,1816
2220,1826
2221,1820
2222,1818
2223,1813
2224,1811
2225,1808
2226,1805
2227,1799
2228,1791
2229,1791
2230,1801
2231,1805
2232,1810
2233,1819
2234,1837
2235,1841
2236,1855
2237,1865
2238,1862
2239,1856
2240,1851
2241,1840
2242,1831
2243,1817
2244,1808
2245,1793
2246,1790
2247,
2248,1791
2249,1797
2250,1802
2251,1808
2252,1817
2253,1827
2254,1841
2255,1847
2256,1849
2257,1842
2258,1839
2259,1829
2260,1823
2261,1814
2262,1804
2263,1797
2264,1797
2265,1805
2266,1808
2267,1819
2268,1826
2269,1836
2270,1849
2271,1856
2272,1857
2273,1854
2274,1847
2275,1839
