,mV
1651,1987
1652,2021
1653,2035
1654,2047
1655,2057
1656,2054
1657,2045
1658,2034
1659,2019
1660,2000
1661,1976
1662,1963
1663,1953
1664,1950
1665,1952
1666,1962
1667,1975
1668,1997
1669,2017
1670,2032
1671,2032
1672,2035
1673,2031
1674,2022
1675,2007
1676,1995
1677,1971
1678,1957
1679,1950
1680,1951
1681,1956
1682,1969
1683,1985
1684,2004
1685,2031
1686,2061
1687,2069
1688,2076
1689,2073
1690,2070
1691,2061
1692,2038
1693,2019
1694,1999
1695,1982
1696,1971
1697,1973
1698,1984
1699,1991
1700,2008
1701,2026
1702,2047
1703,2070
1704,2077
1705,2075
1706,2068
1707,2064
1708,2058
1709,2047
1710,2033
1711,2021
1712,2015
1713,2029
1714,2033
1715,2061
1716,2077
1717,2096
1718,2123
1719,2155
1720,2173
1721,2185
1722,2190
1723,2192
1724,2194
1725,2192
1726,2188
1727,2177
1728,2166
1729,2160
1730,2160
1731,2161
1732,2174
1733,2191
1734,2207
1735,2233
1736,2256
1737,2268
1738,2274
1739,2277
1740,2275
1741,2271
1742,2265
1743,2257
1744,2240
1745,2231
1746,2227
1747,2227
1748,2234
1749,2240
1750,2249
1751,2256
1752,2278
1753,2294
1754,2304
1755,2311
1756,2309
1757,2299
1758,2283
1759,2267
1760,2243
1761,2219
1762,2207
1763,2204
1764,2210
1765,2224
1766,2241
1767,2259
1768,2285
1769,2309
1770,2321
1771,2320
1772,2315
1773,2302
1774,2288
1775,2277
1776,2258
1777,2236
1778,2213
1779,2198
1780,2192
1781,2185
1782,2182
1783,2188
1784,2196
1785,2217
1786,2237
1787,2246
1788,2249
1789,2246
1790,2238
1791,2224
1792,2208
1793,2190
1794,2162
1795,2145
1796,2131
1797,2128
1798,2128
1799,2135
1800,2147
1801,2157
1802,2178
1803,2196
1804,2206
1805,2204
1806,2199
1807,2192
1808,2179
1809,2167
1810,2147
1811,2125
1812,2109
1813,2102
1814,2103
1815,2107
1816,2113
1817,2128
1818,2145
1819,2165
1820,2183
1821,2189
1822,2186
1823,2177
1824,2161
1825,2144
1826,2128
1827,2099
1828,2085
1829,2076
1830,2071
1831,2067
1832,2074
1833,2087
1834,2095
1835,2113
1836,2130
1837,2140
1838,2135
1839,2129
1840,2124
1841,2112
1842,2096
1843,2085
1844,2064
1845,2054
1846,2043
1847,2045
1848,2057
1849,2065
1850,2080
1851,2097
1852,2128
1853,2153
1854,2161
1855,2163
1856,2163
1857,2159
1858,2144
1859,2129
1860,2109
1861,2091
1862,2080
1863,2080
1864,2087
1865,2096
1866,2111
1867,2118
1868,2130
1869,2151
1870,2160
1871,2160
1872,2153
1873,2142
1874,2131
1875,2121
1876,2107
1877,2084
1878,2064
1879,2046
1880,2039
1881,2039
1882,2055
1883,2064
1884,2076
1885,2100
1886,2122
1887,2137
1888,2150
1889,2160
1890,2167
1891,2178
1892,2177
1893,2179
1894,2177
1895,2189
1896,2214
1897,2259
1898,2317
1899,2386
1900,2470
1901,2567
1902,2672
1903,2786
1904,2893
1905,2998
1906,3111
1907,3219
1908,3335
1909,3455
1910,3597
1911,3745
1912,3920
1913,4095
1914,4095
1915,4095
1916,4095
1917,4095
1918,4095
1919,4095
1920,4095
1921,4095
1922,4095
1923,4095
1924,4095
1925,4095
1926,4095
1927,4095
1928,4001
1929,3760
1930,3536
1931,3344
1932,3178
1933,3024
1934,2895
1935,2797
1936,2721
1937,2667
1938,2633
1939,2622
1940,2635
1941,2663
1942,2704
1943,2752
1944,2789
1945,2821
1946,2863
1947,2899
1948,2931
1949,2958
1950,2974
1951,2987
1952,2999
1953,3002
1954,2993
1955,2981
1956,2962
1957,2941
1958,2922
1959,2898
1960,2878
1961,2851
1962,2836
1963,2832
1964,2832
1965,2843
1966,2851
1967,2866
1968,2889
1969,2911
1970,2926
1971,2922
1972,2913
1973,2898
1974,2880
1975,2859
1976,2838
1977,2804
1978,2774
1979,2753
1980,2750
1981,2749
1982,2752
1983,2756
1984,2763
1985,2783
1986,2799
1987,2801
1988,2796
1989,2779
1990,2761
1991,2735
1992,2705
1993,2675
1994,2643
1995,2623
1996,2608
1997,2599
1998,2595
1999,2597
2000,2605
2001,2609
2002,2624
2003,2640
2004,2639
2005,2639
2006,2626
2007,2616
2008,2601
2009,2577
2010,2546
2011,2514
2012,2491
2013,2471
2014,2463
2015,2453
2016,2453
2017,2457
2018,2464
2019,2479
2020,2480
2021,2470
2022,2452
2023,2432
2024,2413
2025,2388
2026,2369
2027,2339
2028,2315
2029,2291
2030,2274
2031,2271
2032,2267
2033,2267
2034,2267
2035,2287
2036,2297
2037,2293
2038,2288
2039,2271
2040,2253
2041,2224
2042,2200
2043,2169
2044,2129
2045,2107
2046,2087
2047,2077
2048,2067
2049,2062
2050,2062
2051,2062
2052,2078
2053,2079
2054,2077
2055,2065
2056,2047
2057,2029
2058,2004
2059,1987
2060,1967
2061,1935
2062,1907
2063,1903
2064,1891
2065,1885
2066,1886
2067,1889
2068,1902
2069,1918
2070,1925
2071,1922
2072,1916
2073,1904
2074,1886
2075,1872
2076,1852
2077,1825
2078,1805
2079,1792
2080,1789
2081,1785
2082,1789
2083,1794
2084,1805
2085,1823
2086,1840
2087,1843
2088,1846
2089,1841
2090,1840
2091,1824
2092,1809
2093,1795
2094,1775
2095,1759
2096,1750
2097,1750
2098,1759
2099,1767
2100,1781
2101,1797
2102,1815
2103,1838
2104,1843
2105,1846
2106,1843
2107,1843
2108,1837
2109,1821
2110,1801
2111,1776
2112,1765
2113,1757
2114,1760
2115,1763
2116,1776
2117,1786
2118,1807
2119,1832
2120,1841
2121,1854
2122,1850
2123,1843
2124,1839
2125,1826
2126,1816
2127,1799
2128,1791
2129,1782
2130,1787
2131,1798
2132,1807
2133,1820
2134,1840
2135,1863
2136,1883
2137,1890
2138,1892
2139,1889
2140,1879
2141,1860
2142,1840
2143,1815
2144,1789
